# Vitte package ABI surface (versioned, stable subset)
# format: version|profile|module|symbol

v1|minimal|std/core/types|i32
v1|minimal|std/core/types|u32
v1|minimal|std/core/types|string
v1|minimal|std/core/types|Unit

v1|full|std/io/print|print
v1|full|std/io/print|println
v1|full|std/io/print|eprint
v1|full|std/io/print|eprintln

v1|full|std/net/addr|IpV4
v1|full|std/net/addr|IpAddr
v1|full|std/net/addr|SocketAddr

v1|kernel|std/kernel/console|write_byte
v1|kernel|std/kernel/console|read_key

v1|arduino|std/arduino/serial|begin
v1|arduino|std/arduino/serial|available
v1|arduino|std/arduino/serial|write
