# Vitte stdlib ABI surface v2
# Format: version|profile|module|symbol
v1|minimal|std/core|CORE_VERSION
v1|minimal|std/core|OK
v1|minimal|std/core|ERR
v1|minimal|std/core|CoreStatus
v1|minimal|std/core|CoreError
v1|minimal|std/io|File
v1|minimal|std/io|IoStatus
v1|minimal|std/io|println
v1|minimal|std/math|PI
v1|minimal|std/math|add
v1|minimal|std/strings|StringBuilder
v1|minimal|std/strings|sb_new
v1|minimal|std/strings|sb_to_string
v1|full|std/network/network|connect
v1|full|std/network/network|ping
v1|arduino|std/io|println
