Bitmap	struct{ Word *base; unsigned width; Rectangle rect; }Bitmap;
Drect	Rectangle Drect; the rectangle inside the display border
Font	struct{short n;char height, ascent;long unused;Bitmap *bits;Fontchar info[];}Font;
Fontchar	struct{ short x; char top, bottom, left, width; }Fontchar;
Jrect	Bitmap Jrect={0, 0, XMAX, YMAX};
Point	struct{ short x; short y; }Point;
Pt	Point Pt(x, y) int x, y; create a point from two coordinates
Rect	Rectangle Rect(a, b, c, d) int a, b, c, d; create a rectangle from four coordinates
Rectangle	struct{ Point origin; Point corner; }Rectangle;
Rpt	Rectangle Rpt(p, q) Point p, q; create a rectangle from two points
Texture	struct{ Word bits[16]; }Texture;
Word	short Word; quantum of display memory
_exit	_exit(status) terminate process, for real
abort	abort() generate a fault
abs	abs(a) integer absolute value
access	access(fn, mode) char *fn; determine accessibility of file
acct	acct(fn) char *fn; turn accounting on or off
acos	double acos(x) double x; <math.h>
add	Point add(p, q) Point p, q; add two points
addr	Word *addr(b, p) Bitmap *b; Point p; Word address of Point in Bitmap
alarm	alarm(t) unsigned t; schedule signal after specified time
alarm	void alarm(t) unsigned t; wakeup call timer
alloc	char *alloc(nbytes) unsigned nbytes; allocate memory
arc	arc(x1, y1, x2, y2, x, y, r) double x1, y1, x2, y2, x, y, r; <[i]plot.h>
arc	void arc(b, p0, p1, p2, f) Bitmap *b; Point p0, p1, p2; Code f;
area	area(r) Rectangle r; area of given rectangle
asctime	char *asctime(tm) struct tm *tm; <time.h> convert to standard date string
asin	double asin(x) double x; <math.h>
assert	assert(expression) <assert.h> program verification
atan	double atan(x) double x; <math.h>
atan2	double atan2(x, y) double x, y; <math.h>
atan2	int atan2(x, y) int x, y; inaccurate arc tangent (in degrees)
atof	double atof(s) char *s; convert ASCII to double
atoi	atoi(s) char *s; convert ASCII to integer
atol	long atol(s) char *s; convert ASCII to long
bagel	bagel(p, major, minor, c) Point p; Color c; draw an annulus
balloc	Bitmap *balloc(r) Rectangle r; allocate a bitmap
bfree	void bfree(b) Bitmap *b; deallocate a bitmap
bitblt	void bitblt(sb, r, db, p, f) Bitmap *sb, *db; Rectangle r; Point p; Code f;
box	box(x1, y1, x2, y2) double x1, y1, x2, y2; <[i]plot.h>
brk	char *brk(ad) change core allocation
btclose	void btclose(bt) btree *bt; <bt.h> close a B-tree file
btcommit	void btcommit() complete a B-tree transaction
btdelete	btdelete(bt, key) btree *bt; mbuf key; <bt.h> remove a record from a B-tree
btfirst	btfirst(bt) btree *bt; <bt.h> seek to the beginning of a B-tree file
btkey	mbuf btkey(bt) btree *bt; <bt.h> return current B-tree key
btopen	btree *btopen(fn, typ) char *fn; <bt.h> open a B-tree file
btread	btread(bt, key, rec) btree *bt; mbuf *key, *rec; <bt.h> read a B-tree record
btreclen	btreclen(bt) btree *bt; <bt.h> return current B-tree record length
btseek	btseek(bt, key) btree *bt; mbuf key; <bt.h> seek to a record in a B-tree file
btwrite	btwrite(bt, key, rec) btree *bt; mbuf key, rec; <bt.h> write a record in a B-tree
button1	button1() is mouse button 1 (left) depressed?
button12	button12() is mouse button 1 or 2 (left, middle) depressed?
button123	button123() is any mouse button depressed?
button2	button2() is mouse button 2 (middle) depressed?
button23	button23() is mouse button 2 or 3 (middle, right) depressed?
button3	button3() is mouse button 3 (right) depressed?
cabs	double cabs(z) struct { double x, y;} z; <math.h> Euclidean distance
calloc	char *calloc(nelem, elsize) unsigned nelem, elsize; allocate main memory
ceil	double ceil(x) double x; <math.h> ceiling function
cfill	cfill(s) char *s; <[i]plot.h>
chdir	chdir(fn) char *fn; change current working directory
chilidog	chilidog(p0, r0, c0, p1, r1, c1) Point p0, p1; Color c0, c1; draw a deluxe line
chmod	chmod(fn, mode) char *fn; change mode of file
chown	chown(fn, owner, group) char *fn; change owner and group of a file
circle	circle(xc, yc, r) double xc, yc, r; <[i]plot.h>
circle	void circle(b, p, r, f) Bitmap *b; Point p; int r; Code f;
clearerr	clearerr(f) FILE *stream; <stdio.h> clear f's error/eof flags
clipline	clipline(r, p0, p1) Rectangle r; Point *p0, *p1;  clip a line to the rectangle
close	close(fd) close a file
closedir	closedir(dirp) DIR *dirp; <ndir.h> close a directory
closepic	closepic(f) PICFILE *f; close a picture file
closepl	closepl() <[i]plot.h>
