# os	arch	format	native_tools
linux	amd64	deb	dpkg-deb
linux	arm64	deb	dpkg-deb
linux	i386	deb	dpkg-deb
macos	x86_64	pkg	pkgbuild,productbuild
macos	x86_64	dmg	hdiutil
macos	arm64	pkg	pkgbuild,productbuild
macos	arm64	dmg	hdiutil
macos	universal	pkg	pkgbuild,productbuild,lipo
macos	universal	dmg	hdiutil,lipo
windows	amd64	exe	makensis
freebsd	amd64	pkg	pkg
freebsd	i386	pkg	pkg
freebsd	arm64	pkg	pkg
freebsd	amd64	tar.xz	tar
freebsd	i386	tar.xz	tar
openbsd	amd64	tar.xz	tar
openbsd	i386	tar.xz	tar
netbsd	amd64	tar.xz	tar
netbsd	i386	tar.xz	tar
dragonfly	amd64	tar.xz	tar
dragonfly	i386	tar.xz	tar
solaris	amd64	pkg	pkgmk,pkgtrans
solaris	i386	pkg	pkgmk,pkgtrans
