file,generic_instantiations,trait_impls,sum_variants,pattern_arms,inference_constraints
tests/type_system/associated_types_positive.vit,4,4,1,2,6
tests/type_system/edge_ambiguous_constraints.vit,1,1,2,3,7
tests/type_system/exhaustive_patterns_positive.vit,2,2,5,12,7
tests/type_system/generic_constraints_positive.vit,8,3,1,2,10
tests/type_system/generics_positive.vit,4,1,0,1,5
tests/type_system/inference_chain_positive.vit,3,1,1,2,14
tests/type_system/inference_positive.vit,2,0,1,2,8
tests/type_system/negative_diagnostics_contract.vit,1,1,1,1,4
tests/type_system/sum_pattern_positive.vit,2,1,3,5,6
tests/type_system/traits_coherence_positive.vit,3,6,1,2,5
tests/type_system/traits_positive.vit,1,3,0,2,4
